mat a
all strains contain gfp tagged protein with his3 marker													
Synced to SGD on Sat Jul  8 00:51:42 2017
Plate #	Row	Column	ORF	Gene	Alias	Description	GO Biological Process	GO Molecular Function	GO Cellular Component	abundance	original localization	comments	typical to this lib	
7	F	1	YPR078C	-	-	Putative protein of unknown function; possible role in DNA metabolism and/or in genome stability; expression is heat-inducible	biological_process	molecular_function	cellular_component	-	-	-	-	
7	F	2	YMR318C	ADH6	NADP-dependent alcohol dehydrogenase|ADHVI	NADPH-dependent medium chain alcohol dehydrogenase; has broad substrate specificity; member of the cinnamyl family of alcohol dehydrogenases; may be involved in fusel alcohol synthesis or in aldehyde tolerance; protein abundance increases in response to DNA replication stress	other	oxidoreductase activity	cellular_component	21700	"cytoplasm,nucleus"	-	-	
7	F	3	YDR191W	HST4	NAD-dependent histone deacetylase HST4	NAD(+)-dependent protein deacetylase; deacetylation targets are primarily mitochondrial proteins; involved along with Hst3p in silencing at telomeres, cell cycle progression, radiation resistance, genomic stability and short-chain fatty acid metabolism; accumulates in mitochondria in response to biotin starvation and may link biotin metabolism with energy homeostasis; member of the Sir2 family and may be the functional equivalent of human SIRT3	chromatin organization, monocarboxylic acid metabolic process, histone modification, lipid metabolic process, response to starvation	hydrolase activity	nucleus, mitochondrion, cytoplasm	377	"cytoplasm,nucleus"	-	-	
7	F	4	YML021C	UNG1	uracil-DNA glycosylase	Uracil-DNA glycosylase; required for repair of uracil in DNA formed by spontaneous cytosine deamination; efficiently excises uracil from single-stranded DNA in vivo; not required for strand-specific mismatch repair; cell-cycle regulated, expressed in late G1; localizes to mitochondria and nucleus	DNA repair, cellular response to DNA damage stimulus	hydrolase activity, hydrolase activity, acting on glycosyl bonds	nucleus, mitochondrion, cytoplasm	4820	"cytoplasm,nucleus"	-	-	
7	F	5	YAL036C	RBG1	GTP-binding protein RBG1|FUN11	Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p, Ygr250cp, Gir2p and Yap1p via two-hybrid	cytoplasmic translation, response to starvation	ion binding	ribosome, cytoplasm	11700	cytoplasm	-	-	
7	F	6	YJR159W	SOR1	L-iditol 2-dehydrogenase SOR1|SDH1	Sorbitol dehydrogenase; protein sequence is 99% identical to the Sor2p sorbitol dehydrogenase; expression is induced in the presence of sorbitol or xylose	carbohydrate metabolic process	oxidoreductase activity	cellular_component	-	-	-	-	
7	F	7	YBL081W	-	-	Non-essential protein of unknown function; null mutation results in a decrease in plasma membrane electron transport	biological_process	molecular_function	cellular_component	-	-	-	-	
7	F	8	YJL131C	AIM23	-	Mitochondrial translation initiation factor 3 (IF3, mIF3); evolutionarily conserved; binds to E. coli ribosomes in vitro; null mutant displays severe respiratory growth defect and elevated frequency of mitochondrial genome loss	translational initiation, mitochondrial translation, mitochondrion organization	RNA binding, translation factor activity, RNA binding	mitochondrion, cytoplasm	319	mitochondrion	-	-	
7	F	9	YNR032W	PPG1	putative serine/threonine-protein kinase PPG1	Putative serine/threonine protein phosphatase; putative phosphatase of the type 2A-like phosphatase family, required for glycogen accumulation; interacts with Tap42p, which binds to and regulates other protein phosphatases	carbohydrate metabolic process, protein dephosphorylation, generation of precursor metabolites and energy	phosphatase activity, hydrolase activity	nucleus, cytoplasm	1960	"cytoplasm,nucleus"	-	-	
7	F	10	YNL304W	YPT11	Rab family GTPase YPT11	Rab GTPase; Myo2p-binding protein implicated in mother-to-bud transport of cortical endoplasmic reticulum (ER), late Golgi, and mitochondria during cell division; function is regulated at multiple levels; abundance of active Ypt11p forms is controlled by phosphorylation status and degradation; normally a low-abundance protein whose ER localization is only detected when protein is highly over expressed	mitochondrion organization, organelle inheritance	molecular_function	endomembrane system, mitochondrion, cellular bud, site of polarized growth, endoplasmic reticulum, cytoplasm	2850	cytoplasm	-	-	
7	F	11	YMR097C	MTG1	putative GTPase MTG1	Putative GTPase peripheral to the mitochondrial inner membrane; essential for respiratory competence, likely functions in assembly of the large ribosomal subunit, has homologs in plants and animals	mitochondrial translation, mitochondrion organization	GTPase activity, hydrolase activity	nucleus, mitochondrion, membrane, mitochondrial envelope, cytoplasm	1630	mitochondrion	-	-	
7	F	12	YBR181C	RPS6B	eS6|ribosomal 40S subunit protein S6B|S6e|RPS102|RPS101|LPG18	Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S6, no bacterial homolog; phosphorylated on S233 by Ypk3p in a TORC1-dependent manner, and on S232 in a TORC1/2-dependent manner by Ypk1/2/3p; RPS6B has a paralog, RPS6A, that arose from the whole genome duplication	cytoplasmic translation, rRNA processing, ribosomal small subunit biogenesis	structural molecule activity, structural constituent of ribosome	ribosome, cytoplasm	38800	cytoplasm	-	-	
7	F	13	YMR028W	TAP42	-	Essential protein involved in the TOR signaling pathway; physically associates with the protein phosphatase 2A and the SIT4 protein phosphatase catalytic subunits	transcription from RNA polymerase I promoter, signaling	molecular_function	membrane, cytoplasm	-	-	-	-	
7	F	14	YPL138C	SPP1	SAF41|CPS40	Subunit of COMPASS (Set1C); a complex which methylates histone H3 on lysine 4 and is required in telomeric transcriptional silencing; promotes meiotic DSB formation by interacting with H3K4me3 and Rec107p, a protein required for Spo11p-catalyzed DSB formation located on chromosome axes; interacts with Orc2p; PHD finger domain protein similar to human CGBP, an unmethylated CpG binding protein; relocalizes to cytosol in response to hypoxia	peptidyl-amino acid modification, meiotic cell cycle, protein alkylation, organelle fission, chromatin organization, regulation of organelle organization, histone modification, regulation of cell cycle	chromatin binding, transferase activity, histone binding, methyltransferase activity	nucleus, cytoplasm	1680	nucleus	-	-	
7	F	15	YLR063W	BMT6	25S rRNA (uracil2843-N3)-methyltransferase	Methyltransferase required for m3U2843 methylation of the 25S rRNA; S-adenosylmethionine-dependent; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YLR063W is not an essential gene	rRNA processing, RNA modification	transferase activity, methyltransferase activity	cytoplasm	technical problem	cytoplasm	-	-	
7	F	16	YIL122W	POG1	-	Nuclear chromatin-associated protein of unknown function; may have a role in cell cycle regulation; overexpression promotes recovery from pheromone induced arrest and suppresses the stress sensitivity caused by a mutation in the E3 ubiquitin ligase Rsp5p; binds upstream of BAR1 and cell cycle-related genes; phsosphoylated form may be ubiquitinated by Dma2p; potential Cdc28p substrate; SBF regulated	response to chemical, conjugation, transcription from RNA polymerase II promoter, signaling	DNA binding	nucleus, chromosome	736	nucleus	-	-	
7	F	17	YPL081W	RPS9A	uS4|ribosomal 40S subunit protein S9A|rp21|YS11|S9A|S4|S13	Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S9 and bacterial S4; RPS9A has a paralog, RPS9B, that arose from the whole genome duplication	cytoplasmic translation, rRNA processing, ribosomal small subunit biogenesis	RNA binding, structural constituent of ribosome, rRNA binding, structural molecule activity	ribosome, cytoplasm	106000	cytoplasm	-	-	
7	F	18	YJR043C	POL32	DNA polymerase delta subunit POL32|REV5	Third subunit of DNA polymerase delta; involved in chromosomal DNA replication; required for error-prone DNA synthesis in the presence of DNA damage and processivity; forms a complex with Rev3p, Rev7p and Pol31p; interacts with Hys2p, PCNA (Pol30p), and Pol1p	DNA repair, DNA replication, cellular response to DNA damage stimulus, RNA catabolic process, DNA recombination	transferase activity, nucleotidyltransferase activity, hydrolase activity, nuclease activity	nucleus, chromosome	2410	"cytoplasm,nucleus"	-	-	
7	F	19	YKR077W	MSA2	-	Putative transcriptional activator; interacts with G1-specific transcription factor MBF and G1-specific promoters; MSA2 has a paralog, MSA1, that arose from the whole genome duplication	mitotic cell cycle	molecular_function	nucleus, cytoplasm	861	"cytoplasm,nucleus"	-	-	
7	F	20	YNL084C	END3	-	EH domain-containing protein involved in endocytosis; actin cytoskeletal organization and cell wall morphogenesis; forms a complex with Sla1p and Pan1p	mitotic cell cycle, meiotic cell cycle, cell budding, sporulation, cytoskeleton organization, cytokinesis, cell wall organization or biogenesis, endocytosis	protein binding, bridging	cell cortex, cytoskeleton, site of polarized growth, cytoplasm	2610	punctate composite	-	-	
7	F	21	YDR012W	RPL4B	uL4|ribosomal 60S subunit protein L4B|L4|rp2|YL2|L4B|L2B	Ribosomal 60S subunit protein L4B; homologous to mammalian ribosomal protein L4 and bacterial L4; RPL4B has a paralog, RPL4A, that arose from the whole genome duplication	cytoplasmic translation	structural molecule activity, structural constituent of ribosome	ribosome, cytoplasm	151000	cytoplasm	-	-	
7	F	22	YOL086C	ADH1	alcohol dehydrogenase ADH1|ADC1	Alcohol dehydrogenase; fermentative isozyme active as homo- or heterotetramers; required for the reduction of acetaldehyde to ethanol, the last step in the glycolytic pathway; ADH1 has a paralog, ADH5, that arose from the whole genome duplication	carbohydrate metabolic process, cofactor metabolic process, generation of precursor metabolites and energy, monocarboxylic acid metabolic process, cellular amino acid metabolic process, nucleobase-containing small molecule metabolic process	oxidoreductase activity	membrane, cytoplasm, plasma membrane	-	-	-	may have trouble growing up from this copy since (too) little caught up from Weissman lab copy	
7	F	23	YFR046C	CNN1	centromere-binding protein CNN1	Kinetochore protein; associated with the essential kinetochore proteins Nnf1p and Spc24p; phosphorylated by Clb5-Cdk1, Mps1p, Ipl1p and to a lesser extent by Clb2-Cdk1; localizes to the lower region of the Ndc80 complex during anaphase and regulates KMN activity by inhibiting the Mtw1 and Spc105 complexes from binding to the Ndc80 complex; similar to metazoan CENP-T	regulation of organelle organization, organelle assembly, protein complex biogenesis, chromosome segregation	DNA binding	nucleus, chromosome	1300	nucleus	-	-	
7	F	24	YMR146C	TIF34	translation initiation factor eIF3 subunit i	eIF3i subunit of the eukaryotic translation initiation factor 3 (eIF3); subunit of the core complex of eIF3; essential for translation; stimulates rate of ribosomal scanning during translation reinitiation; eIF3 is also involved in programmed stop codon readthrough	cytoplasmic translation, translational initiation	RNA binding, translation factor activity, RNA binding	cytoplasm	-	-	-	may have trouble growing up from this copy since (too) little caught up from Weissman lab copy	
7	G	1	YGR111W	-	-	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus	other	molecular_function	nucleus, cytoplasm	768	"cytoplasm,nucleus"	-	-	
7	G	2	YDR532C	KRE28	-	Subunit of a kinetochore-microtubule binding complex; complex bridges centromeric heterochromatin and kinetochore MAPs and motors; required for sister chromatid bi-orientation and kinetochore binding of SAC components; complex also includes Spc105p; modified by sumoylation	biological_process	molecular_function	nucleus, cytoskeleton, microtubule organizing center, chromosome	377	"ambiguous,spindle pole"	-	-	
7	G	3	YJL026W	RNR2	ribonucleotide-diphosphate reductase subunit RNR2|CRT6	Ribonucleotide-diphosphate reductase (RNR), small subunit; the RNR complex catalyzes the rate-limiting step in dNTP synthesis and is regulated by DNA replication and DNA damage checkpoint pathways via localization of the small subunits; RNR2 has a paralog, RNR4, that arose from the whole genome duplication	nucleobase-containing small molecule metabolic process	oxidoreductase activity	nucleus, cytoplasm	538	"cytoplasm,nucleus"	-	-	
7	G	4	YBR234C	ARC40	-	Subunit of the ARP2/3 complex; ARP2/3 is required for the motility and integrity of cortical actin patches	cytoskeleton organization, regulation of organelle organization, protein complex biogenesis	ubiquitin-like protein binding	cytoskeleton	technical problem	actin	-	-	
7	G	5	YGL213C	SKI8	SKI complex subunit WD repeat protein SKI8|REC103	Ski complex component and WD-repeat protein; mediates 3'-5' RNA degradation by the cytoplasmic exosome; also required for meiotic double-strand break recombination; null mutants have superkiller phenotype	meiotic cell cycle, organelle fission, protein complex biogenesis, RNA catabolic process, DNA recombination	molecular_function	nucleus, chromosome, cytoplasm	1710	cytoplasm	-	-	
7	G	6	YDR309C	GIC2	-	Redundant rho-like GTPase Cdc42p effector; involved in initiation of budding and cellular polarization; interacts with Cdc42p via the Cdc42/Rac-interactive binding (CRIB) domain and with PI(4,5)P2 via a polybasic region; GIC2 has a paralog, GIC1, that arose from the whole genome duplication	mitotic cell cycle, organelle fission, cytoskeleton organization, regulation of organelle organization, regulation of cell cycle	lipid binding, enzyme regulator activity, enzyme binding, ion binding	cellular bud, membrane, site of polarized growth, plasma membrane	1130	"ambiguous,cytoplasm,bud"	-	-	
7	G	7	YJL048C	UBX6	CUI2	UBX (ubiquitin regulatory X) domain-containing protein; interacts with Cdc48p, transcription is repressed when cells are grown in media containing inositol and choline; UBX6 has a paralog, UBX7, that arose from the whole genome duplication	sporulation, proteolysis involved in cellular protein catabolic process	molecular_function	nucleus	1340	nuclear periphery	-	-	
7	G	8	YOL116W	MSN1	PHD2|MSS10|HRB382|FUP1	Transcriptional activator; involved in regulation of invertase and glucoamylase expression, invasive growth and pseudohyphal differentiation, iron uptake, chromium accumulation, and response to osmotic stress; localizes to the nucleus; relative distribution to the nucleus increases upon DNA replication stress	response to heat, carbohydrate metabolic process, response to chemical, invasive growth in response to glucose limitation, pseudohyphal growth, transcription from RNA polymerase II promoter, response to osmotic stress	DNA binding	nucleus, cytoplasm	491	microtubule	-	-	
7	G	9	YLR226W	BUR2	CST4	Cyclin for the Sgv1p (Bur1p) protein kinase; Sgv1p and Bur2p comprise the CDK-cyclin BUR kinase complex which is involved in transcriptional regulation through its phosphorylation of the carboxy-terminal domain (CTD) of the largest subunit of RNA polymerase II (Rpo21p); BUR kinase is also involved in the recruitment of Spt6p to the CTD at the onset of transcription	peptidyl-amino acid modification, mitotic cell cycle, protein phosphorylation, protein alkylation, organelle fission, chromatin organization, histone modification, chromosome segregation, DNA-templated transcription, termination, regulation of protein modification process, protein modification by small protein conjugation or removal, transcription from RNA polymerase II promoter	enzyme regulator activity	nucleus	2910	nucleus	-	-	
7	G	10	YPL014W	CIP1	-	Cyclin-dependent kinase inhibitor; interacts with and inhibits the Cdc28p/Cln2p, G1/S phase cyclin-dependent kinase complex but not S-phase, or M-phase complexes; overexpression blocks cells in G1 phase and stabilizes the Cdc28p inhibitor Sic1p, while disruption accelerates the G1/S phase transition; phosphorylated during S phase in a Cdc28p-dependent manner; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and to the nucleus	mitotic cell cycle, regulation of protein modification process, protein phosphorylation, regulation of cell cycle	enzyme regulator activity	nucleus, cytoplasm	technical problem	"cytoplasm,nucleus"	-	-	
7	G	11	YCR035C	RRP43	exosome non-catalytic core subunit RRP43	Exosome non-catalytic core component; involved in 3'-5' RNA processing and degradation in both the nucleus and the cytoplasm; has similarity to E. coli RNase PH and to human hRrp43p (OIP2, EXOSC8); protein abundance increases in response to DNA replication stress	snoRNA processing, rRNA processing, nucleobase-containing compound transport, RNA catabolic process, nuclear transport	molecular_function	nucleus, nucleolus, cytoplasm	3180	"nucleolus,nucleus"	-	-	
7	G	12	YGR109C	CLB6	B-type cyclin CLB6	B-type cyclin involved in DNA replication during S phase; activates Cdc28p to promote initiation of DNA synthesis; functions in formation of mitotic spindles along with Clb3p and Clb4p; most abundant during late G1; CLB6 has a paralog, CLB5, that arose from the whole genome duplication	mitotic cell cycle, meiotic cell cycle, regulation of protein modification process, protein phosphorylation, DNA replication, regulation of DNA metabolic process, regulation of cell cycle	enzyme regulator activity	cellular_component	-	-	-	-	
7	G	13	YMR173W-A	-	-	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps the verified gene DDR48/YML173W	biological_process	molecular_function	membrane	-	-	-	-	
7	G	14	YDR400W	URH1	trifunctional uridine nucleosidase/nicotinamide riboside hydrolase/nicotinic acid riboside hydrolase	Uridine nucleosidase (uridine-cytidine N-ribohydrolase); cleaves N-glycosidic bonds in nucleosides; involved in the pyrimidine salvage and nicotinamide riboside salvage pathways	cofactor metabolic process, nucleobase-containing small molecule metabolic process	hydrolase activity, hydrolase activity, acting on glycosyl bonds	nucleus, cytoplasm	technical problem	"cytoplasm,nucleus"	-	-	
7	G	15	YGR012W	MCY1	putative cysteine synthase	Putative cysteine synthase; localized to the mitochondrial outer membrane	biological_process	molecular_function	membrane, mitochondrial envelope, mitochondrion, cytoplasm	4650	mitochondrion	-	-	
7	G	16	YBR161W	CSH1	mannosylinositol phosphorylceramide synthase catalytic subunit CSH1	Mannosylinositol phosphorylceramide (MIPC) synthase catalytic subunit; forms a complex with regulatory subunit Csg2p; function in sphingolipid biosynthesis is overlapping with that of Sur1p; CSH1 has a paralog, SUR1, that arose from the whole genome duplication	lipid metabolic process	transferase activity, transferring glycosyl groups, transferase activity	membrane, vacuole, cytoplasm	195	vacuole	-	-	
7	G	17	YKL077W	-	-	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the vacuole	biological_process	molecular_function	endomembrane system, vacuole, endoplasmic reticulum, cytoplasm	606	vacuole	-	-	
7	G	18	YML060W	OGG1	8-oxoguanine glycosylase OGG1	Nuclear and mitochondrial glycosylase/lyase; specifically excises 7,8-dihydro-8-oxoguanine residues located opposite cytosine or thymine residues in DNA, repairs oxidative damage to mitochondrial DNA, contributes to UVA resistance	DNA repair, telomere organization, cellular response to DNA damage stimulus	hydrolase activity, hydrolase activity, acting on glycosyl bonds, lyase activity, nuclease activity	nucleus, chromosome, mitochondrion, cytoplasm	3690	nucleus	-	-	
7	G	19	YDL237W	AIM6	LRC1	Protein of unknown function; required for respiratory growth; YDL237W is not an essential gene	biological_process	molecular_function	cellular_component	-	-	-	-	
7	G	20	YDR142C	PEX7	PEB1|PAS7	Peroxisomal signal receptor for peroxisomal matrix proteins; recognizes the N-terminal nonapeptide signal (PTS2); WD repeat protein; defects in human homolog cause lethal rhizomelic chondrodysplasia punctata (RCDP)	protein targeting, transmembrane transport, peroxisome organization	other	peroxisome, cytoplasm	-	-	-	-	
7	G	21	YIL018W	RPL2B	uL2|ribosomal 60S subunit protein L2B|L2|rp8|YL6|L5B|L2B|LOT2|RPL5A	Ribosomal 60S subunit protein L2B; homologous to mammalian ribosomal protein L2 and bacterial L2; RPL2B has a paralog, RPL2A, that arose from the whole genome duplication; expression is upregulated at low temperatures	cytoplasmic translation	structural molecule activity, structural constituent of ribosome	ribosome, cytoplasm	-	-	-	-	
7	G	22	YHR076W	PTC7	type 2C protein phosphatase PTC7	Type 2C serine/threonine protein phosphatase (PP2C); alternatively spliced to create two mRNA isoforms; protein from spliced form localizes to the mitochondria while the one from the unspliced form is localized to the nuclear envelope; activates coenzyme Q6 biosynthesis by dephosphorylation of demethoxy-Q6 hydroxylase Coq7p	protein dephosphorylation	phosphatase activity, hydrolase activity	nucleus, endomembrane system, mitochondrion, cytoplasm	-	-	-	-	
7	G	23	YLR244C	MAP1	methionine aminopeptidase MAP1	Methionine aminopeptidase; catalyzes the cotranslational removal of N-terminal methionine from nascent polypeptides; function is partially redundant with that of Map2p	protein maturation	peptidase activity, RNA binding, mRNA binding, hydrolase activity	ribosome, cytoplasm	19600	"cytoplasm,nucleus"	-	-	
7	G	24	YMR276W	DSK2	-	Nuclear-enriched ubiquitin-like polyubiquitin-binding protein; required for spindle pole body (SPB) duplication and for transit through the G2/M phase of the cell cycle; involved in proteolysis; interacts with the proteasome; protein abundance increases in response to DNA replication stress	response to chemical, cytoskeleton organization, proteolysis involved in cellular protein catabolic process	protein binding, bridging	nucleus	3930	"cytoplasm,nucleus"	-	-	
7	H	1	YLR048W	RPS0B	uS2|ribosomal 40S subunit protein S0B|S2|S0B|YST2|NAB1B	Protein component of the small (40S) ribosomal subunit; RPS0B has a paralog, RPS0A, that arose from the whole genome duplication; required for maturation of 18S rRNA along with Rps0Ap; deletion of either RPS0 gene reduces growth rate, deletion of both genes is lethal; homologous to human ribosomal protein SA and bacterial S2	cytoplasmic translation, rRNA processing, organelle assembly, nucleobase-containing compound transport, ribosomal small subunit biogenesis, ribosome assembly, nuclear transport	structural constituent of ribosome, structural molecule activity	ribosome, cytoplasm	60900	cytoplasm	-	-	
7	H	2	YNL037C	IDH1	isocitrate dehydrogenase (NAD(+)) IDH1	Subunit of mitochondrial NAD(+)-dependent isocitrate dehydrogenase; complex catalyzes the oxidation of isocitrate to alpha-ketoglutarate in the TCA cycle	generation of precursor metabolites and energy, cellular respiration, cellular amino acid metabolic process	oxidoreductase activity	mitochondrion, cytoplasm	10500	mitochondrion	-	-	
7	H	3	YDR438W	THI74	-	Mitochondrial transporter repressible by thiamine; THI74 has a paralog, YML018C, that arose from the whole genome duplication; shows sequence homology to human gene SLC35F3, a thiamine transporter implicated in hypertension	biological_process	molecular_function	membrane, vacuole, mitochondrion, cytoplasm	-	-	-	-	
7	H	4	YBR053C	-	-	Putative protein of unknown function; induced by cell wall perturbation	biological_process	molecular_function	cellular_component	-	-	-	-	
7	H	5	YDL134C	PPH21	phosphoprotein phosphatase 2A catalytic subunit PPH21	Catalytic subunit of protein phosphatase 2A (PP2A); functionally redundant with Pph22p; methylated at C terminus; forms alternate complexes with several regulatory subunits; involved in signal transduction and regulation of mitosis; forms nuclear foci upon DNA replication stress; PPH21 has a paralog, PPH22, that arose from the whole genome duplication	mitotic cell cycle, regulation of translation, organelle fission, cell budding, protein dephosphorylation, cytoskeleton organization, regulation of organelle organization, chromosome segregation, regulation of cell cycle	phosphatase activity, hydrolase activity	nucleus, cytoplasm	5620	"cytoplasm,nucleus"	-	-	
7	H	6	YKL098W	MTC2	-	Protein of unknown function; mtc2 is synthetically sick with cdc13-1	biological_process	molecular_function	cellular_component	-	-	-	-	
7	H	7	YCR102C	-	-	Putative protein of unknown function; involved in copper metabolism; similar to C. carbonum toxD gene; member of the quinone oxidoreductase family	response to chemical	molecular_function	cellular_component	-	-	-	-	
7	H	8	YLR070C	XYL2	D-xylulose reductase XYL2	Xylitol dehydrogenase; converts xylitol to D-xylulose; expression induced by xylose, even though this pentose sugar is not well utilized by S. cerevisiae; null mutant has cell wall defect	carbohydrate metabolic process	oxidoreductase activity	cellular_component	-	-	-	-	
7	H	9	YPR065W	ROX1	REO1	Heme-dependent repressor of hypoxic genes; mediates aerobic transcriptional repression of hypoxia induced genes such as COX5b and CYC7; repressor function regulated through decreased promoter occupancy in response to oxidative stress; contains an HMG domain that is responsible for DNA bending activity; involved in the hyperosmotic stress resistance	transcription from RNA polymerase II promoter, response to osmotic stress	nucleic acid binding transcription factor activity, DNA binding, transcription factor activity, protein binding	nucleus, chromosome	238	nucleus	-	-	
7	H	10	YBR087W	RFC5	replication factor C subunit 5	Subunit of heteropentameric Replication factor C (RF-C); RF-C is a DNA binding protein and ATPase that acts as a clamp loader of the proliferating cell nuclear antigen (PCNA) processivity factor for DNA polymerases delta and epsilon	DNA replication, chromosome segregation	DNA binding, ATPase activity, hydrolase activity	chromosome	5040	nucleus	-	-	
7	H	11	YOL010W	RCL1	rRNA-processing endoribonuclease	Endonuclease that cleaves pre-rRNA at site A2 for 18S rRNA biogenesis; subunit of U3-containing 90S preribosome processome complex involved in small ribosomal subunit assembly; stimulates Bms1p GTPase and U3 binding activity; similar to RNA cyclase-like proteins but no cyclase activity detected	rRNA processing, ribosomal small subunit biogenesis	nuclease activity, hydrolase activity, enzyme regulator activity	nucleus, nucleolus	10000	"nucleolus,nucleus"	-	-	
7	H	12	YBL016W	FUS3	mitogen-activated serine/threonine-protein kinase FUS3|DAC2	Mitogen-activated serine/threonine protein kinase involved in mating; phosphoactivated by Ste7p; substrates include Ste12p, Far1p, Bni1p, Sst2p; inhibits invasive growth during mating by phosphorylating Tec1p, promoting its; inhibits recruitment of Ste5p, Cdc42p-mediated asymmetry and mating morphogenesis	response to chemical, regulation of transport, conjugation, invasive growth in response to glucose limitation, protein phosphorylation, transposition, regulation of protein modification process, nuclear transport, regulation of cell cycle, signaling	signal transducer activity, kinase activity, transferase activity	nucleus, mitochondrion, site of polarized growth, cytoplasm	8480	"cytoplasm,nucleus"	-	-	
7	H	13	YMR251W	GTO3	omega-class glutathione transferase	Omega class glutathione transferase; putative cytosolic localization	other	transferase activity	cytoplasm	-	-	-	-	
7	H	14	YDL226C	GCS1	-	ADP-ribosylation factor GTPase activating protein (ARF GAP); involved in ER-Golgi transport; required for prospore membrane formation; regulates phospholipase Spo14p; shares functional similarity with Glo3p; GCS1 has a paralog, SPS18, that arose from the whole genome duplication	cytoskeleton organization, Golgi vesicle transport	enzyme regulator activity, cytoskeletal protein binding	cytoskeleton, cytoplasmic vesicle, endomembrane system, Golgi apparatus, cytoplasm	9560	cytoplasm	-	-	
7	H	15	YML131W	-	-	Protein of unknown function; similar to medium chain dehydrogenase/reductases; expression induced by stresses including osmotic shock, DNA damaging agents, and other chemicals; GFP-fusion protein localizes to the cytoplasm; protein abundance increases in response to DNA replication stress	biological_process	molecular_function	cytoplasm	low signal	cytoplasm	-	-	
7	H	16	YJR060W	CBF1	GFII|CP1|CPF1|CEP1	Basic helix-loop-helix (bHLH) protein; forms homodimer to bind E-box consensus sequence CACGTG present at MET gene promoters and centromere DNA element I (CDEI); affects nucleosome positioning at this motif; associates with other transcription factors such as Met4p and Isw1p to mediate transcriptional activation or repression; associates with kinetochore proteins, required for chromosome segregation; protein abundance increases in response to DNA replication stress	carbohydrate metabolic process, response to chemical, chromatin organization, chromosome segregation, lipid metabolic process, transcription from RNA polymerase II promoter	nucleic acid binding transcription factor activity, DNA binding, transcription factor activity, protein binding, transcription factor binding	nucleus, chromosome, mitochondrion, cytoplasm	6890	nucleus	-	-	
7	H	17	YPL236C	ENV7	putative serine/threonine protein kinase ENV7	Vacuolar membrane protein kinase; negatively regulates membrane fusion; associates with vacuolar membrane through palmitoylation of one or more cysteines in consensus sequence; vacuolar membrane association is essential to its kinase activity; mutant shows defect in CPY processing; ortholog of human serine/threonine kinase 16 (STK16)	vacuole organization, regulation of organelle organization, organelle fusion, protein maturation, membrane fusion	kinase activity, transferase activity	vacuole, membrane, cytoplasm	not visualized	vacuolar membrane	-	-	
7	H	18	YLR270W	DCS1	5'-(N(7)-methyl 5'-triphosphoguanosine)-(mRNA) diphosphatase|DcpS	Non-essential hydrolase involved in mRNA decapping; activates Xrn1p; may function in a feedback mechanism to regulate deadenylation, contains pyrophosphatase activity and a HIT (histidine triad) motif; acts as inhibitor of neutral trehalase Nth1p; required for growth on glycerol medium; protein abundance increases in response to DNA replication stress; DCS1 has a paralog, DCS2, that arose from the whole genome duplication	RNA catabolic process, response to starvation	hydrolase activity, enzyme regulator activity	nucleus, mitochondrion, cytoplasm	9920	"cytoplasm,nucleus"	-	-	
7	H	19	YLR141W	RRN5	-	Protein involved in transcription of rDNA by RNA polymerase I; transcription factor, member of UAF (upstream activation factor) family along with Rrn9p and Rrn10p	transcription from RNA polymerase I promoter, chromatin organization	nucleic acid binding transcription factor activity	nucleus, nucleolus	low signal	nucleolus	-	-	
7	H	20	YPR129W	SCD6	LSM13	Repressor of translation initiation; binds eIF4G through its RGG domain and inhibits recruitment of the preinitiation complex; also contains an Lsm domain; may have a role in RNA processing; overproduction suppresses null mutation in clathrin heavy chain gene CHC1; forms cytoplasmic foci upon DNA replication stress	translational initiation, regulation of translation, organelle assembly	RNA binding, mRNA binding	cytoplasm	1280	cytoplasm	-	-	
7	H	21	YDR047W	HEM12	uroporphyrinogen decarboxylase HEM12|HEM6	Uroporphyrinogen decarboxylase; catalyzes the fifth step in the heme biosynthetic pathway; localizes to both the cytoplasm and nucleus; a hem12 mutant has phenotypes similar to patients with porphyria cutanea tarda	cofactor metabolic process	lyase activity	nucleus, cytoplasm	9220	"cytoplasm,nucleus"	-	-	
7	H	22	YNL069C	RPL16B	uL13|ribosomal 60S subunit protein L16B|L13|rp23|YL15|L21B|L16B|RP23	Ribosomal 60S subunit protein L16B; N-terminally acetylated, binds 5.8 S rRNA; transcriptionally regulated by Rap1p; homologous to mammalian ribosomal protein L13A and bacterial L13; RPL16B has a paralog, RPL16A, that arose from the whole genome duplication	cytoplasmic translation	RNA binding, structural molecule activity, structural constituent of ribosome	ribosome, cytoplasm	-	-	-	-	
