Synced to SGD on Sat Jul  8 00:51:38 2017
Plate #	Row	Column	ORF	Gene	Alias	Description	GO Biological Process	GO Molecular Function	GO Cellular Component	original p	original r 	original c	
2	P	16	YGL068W	MNP1	mitochondrial nucleoid protein MNP1	Mitochondrial ribosomal protein of the large subunit; has similarity to E. coli L7/L12 and human MRPL7 ribosomal proteins; associates with the mitochondrial nucleoid; required for normal respiratory growth	mitochondrial translation, mitochondrion organization	structural molecule activity, structural constituent of ribosome	ribosome, mitochondrion, cytoplasm	5	H	8	-	
2	P	17	YHR122W	CIA2	iron-sulfur cluster assembly protein CIA2	Component of cytosolic iron-sulfur protein assembly (CIA) machinery; acts at a late step of Fe-S cluster assembly; forms the CIA targeting complex with Cia1p and Met18p that directs Fe-S cluster incorporation into a subset of proteins involved in methionine biosynthesis, DNA replication and repair, transcription, and telomere maintenance; ortholog of human FAM96B	cofactor metabolic process	molecular_function	nucleus, cytoplasm	6	H	9	-	
2	P	18	YGL069C	-	SRF3	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; not conserved in closely related Saccharomyces species; 92% of ORF overlaps the uncharacterized ORF YGL068W; deletion in cyr1 mutant results in loss of stress resistance	biological_process	molecular_function	cellular_component	5	H	9	-	
2	P	19	YHR143W	DSE2	-	Daughter cell-specific secreted protein with similarity to glucanases; degrades cell wall from the daughter side causing daughter to separate from mother; expression is repressed by cAMP	pseudohyphal growth	hydrolase activity, hydrolase activity, acting on glycosyl bonds	cell wall, extracellular region, vacuole, cytoplasm	6	H	10	-	
2	P	20	YGL074C	-	-	Dubious open reading frame unlikely to encode a functional protein; overlaps 5' end of essential HSF1 gene encoding heat shock transcription factor	biological_process	molecular_function	cellular_component	5	H	10	-	
2	P	21	YHR148W	IMP3	snoRNA-binding rRNA-processing protein IMP3	Component of the SSU processome; SSU processome is required for pre-18S rRNA processing, essential protein that interacts with Mpp10p and mediates interactions of Imp4p and Mpp10p with U3 snoRNA	rRNA processing, ribosomal small subunit biogenesis	RNA binding	nucleus, nucleolus	6	H	11	-	
2	P	22	YGL091C	NBP35	Fe-S cluster-binding ATPase	Essential cytoplasmic iron-sulfur cluster binding protein; forms a complex with Cfd1p that is involved in iron-sulfur protein assembly in the cytosol; similar to P-loop NTPases	cofactor metabolic process, tRNA processing, RNA modification	ion binding, ATPase activity, hydrolase activity	nucleus, cytoplasm	5	H	11	-	
2	P	23	YHR164C	DNA2	bifunctional ATP-dependent DNA helicase/ssDNA endodeoxyribonuclease DNA2|WEB2	Tripartite DNA replication factor; single-stranded DNA-dependent ATPase, ATP-dependent nuclease, helicase; tracking protein for flap cleavage during Okazaki fragment maturation; involved in DNA repair/processing of meiotic DNA double strand breaks; component of telomeric chromatin with cell-cycle dependent localization; required for telomerase-dependent telomere synthesis; forms nuclear foci upon DNA replication stress; human homolog DNA2 complements yeast dna2 mutant	meiotic cell cycle, DNA repair, telomere organization, DNA replication, cellular response to DNA damage stimulus	hydrolase activity, ATPase activity, helicase activity, nuclease activity	nucleus, chromosome, cytoplasm	6	H	12	-	
2	P	24	YGL092W	NUP145	nucleocytoplasmic transporter NUP145|RAT10	Essential protein with distinct roles in two nuclear pore subcomplexes; catalyzes its own proteolytic cleavage in vivo to generate a C-terminal fragment that is a structural component of the Nup84p subcomplex (with roles in NPC biogenesis and localization of genes to the nuclear periphery), and an N-terminal fragment that is one of several FG-nucleoporins within the NPC central core directly responsible for nucleocytoplasmic transport; homologous to human NUP98	DNA repair, protein targeting, chromatin organization, regulation of transport, cellular response to DNA damage stimulus, nucleobase-containing compound transport, nuclear transport, nucleus organization	RNA binding, structural molecule activity	nucleus, endomembrane system, membrane	5	H	12	-	
3	A	1	YPR010C	RPA135	DNA-directed RNA polymerase I core subunit RPA135|A135|SRP3|RRN2|RPA2	RNA polymerase I second largest subunit A135	transcription from RNA polymerase I promoter	transferase activity, nucleotidyltransferase activity	nucleus, nucleolus	12	A	1	-	
3	A	2	YOR075W	UFE1	YOR29-26	t-SNARE protein required for retrograde vesicular traffic; involved in Sey1p-independent homotypic ER fusion; required for efficient nuclear fusion during mating; forms a complex with the SNAREs Sec22p, Sec20p and Use1p to mediate fusion of Golgi-derived vesicles at the ER	organelle fusion, vesicle organization, Golgi vesicle transport, membrane fusion	other	endomembrane system, membrane, endoplasmic reticulum, cytoplasm	11	A	1	-	
3	A	3	YPR016C	TIF6	translation initiation factor 6|CDC95	Constituent of 66S pre-ribosomal particles; has similarity to human translation initiation factor 6 (eIF6); may be involved in the biogenesis and or stability of 60S ribosomal subunits	rRNA processing, ribosomal subunit export from nucleus, ribosomal large subunit biogenesis, nuclear transport	other	nucleus, nucleolus, cytoplasm	12	A	2	-	
3	A	4	YOR077W	RTS2	YOR29-28	Basic zinc-finger protein; similar to human and mouse Kin17 proteins which are chromatin-associated proteins involved in UV response and DNA replication	biological_process	molecular_function	nucleus, cytoplasm	11	A	2	-	
3	A	5	YPR025C	CCL1	TFIIH complex kinase subunit CCL1	Cyclin associated with protein kinase Kin28p; Kin28p is the TFIIH-associated carboxy-terminal domain (CTD) kinase involved in transcription initiation at RNA polymerase II promoters; human homolog CCNH allows growth of yeast ccl1 temperature-sensitive mutant at restrictive temperature	protein phosphorylation, transcription from RNA polymerase II promoter	transcription factor activity, protein binding, enzyme regulator activity	nucleus, mitochondrion, cytoplasm	12	A	3	-	
3	A	6	YOR095C	RKI1	ribose-5-phosphate isomerase RKI1	Ribose-5-phosphate ketol-isomerase; catalyzes the interconversion of ribose 5-phosphate and ribulose 5-phosphate in the pentose phosphate pathway; participates in pyridoxine biosynthesis	cofactor metabolic process, nucleobase-containing small molecule metabolic process, vitamin metabolic process	isomerase activity	nucleus, cytoplasm	11	A	3	-	
3	A	7	YPR033C	HTS1	TS4572|histidine--tRNA ligase|TSM4572	Cytoplasmic and mitochondrial histidine tRNA synthetase; efficient mitochondrial localization requires both a presequence and an amino-terminal sequence; mutations in human ortholog HARS2 are associated with Perrault syndrome	mitochondrial translation, tRNA aminoacylation for protein translation, mitochondrion organization, cellular amino acid metabolic process	RNA binding, mRNA binding, ligase activity	mitochondrion, cytoplasm	12	A	4	-	
3	A	8	YOR098C	NUP1	FG-nucleoporin NUP1	FG-nucleoporin component of central core of the nuclear pore complex; contributes directly to nucleocytoplasmic transport and maintenance of thenuclear pore complex (NPC) permeability barrier; possible karyopherin release factor that accelerates release of karyopherin-cargo complexes after transport across NPC; both NUP1 and NUP60 are homologous to human NUP153	protein targeting, ribosomal subunit export from nucleus, nucleobase-containing compound transport, nuclear transport	structural molecule activity	nucleus, endomembrane system, membrane	11	A	4	-	
3	A	9	YPR035W	GLN1	glutamate--ammonia ligase	Glutamine synthetase (GS); synthesizes glutamine from glutamate and ammonia; with Glt1p, forms the secondary pathway for glutamate biosynthesis from ammonia; expression regulated by nitrogen source and by amino acid limitation; forms filaments of back-to-back stacks of cylindrical homo-decamers at low pH, leading to enzymatic inactivation and storage during states of advanced cellular starvation; relocalizes from nucleus to cytoplasmic foci upon DNA replication stress	cellular amino acid metabolic process	ligase activity	nucleus, cytoplasm	12	A	5	-	
3	A	10	YOR102W	-	-	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; extensively overlaps essential OST2 gene encoding a subunit of the ER lumen oligosaccharyltransferase complex	biological_process	molecular_function	cellular_component	11	A	5	-	
3	A	11	YPR048W	TAH18	NAPDH-dependent diflavin reductase	Conserved NAPDH-dependent diflavin reductase; component of an early step in the cytosolic Fe-S protein assembly (CIA) machinery; transfers electrons from NADPH to the Fe-S cluster of Dre2p; plays a pro-death role under oxidative stress; Tah18p-dependent nitric oxide synthesis confers high-temperature stress tolerance; possible target for development of antifungal drugs	response to chemical, cofactor metabolic process, response to oxidative stress	oxidoreductase activity	mitochondrion, cytoplasm	12	A	6	-	
3	A	12	YOR103C	OST2	dolichyl-diphosphooligosaccharide-protein glycotransferase	Epsilon subunit of the oligosaccharyltransferase complex; located in the ER lumen; catalyzes asparagine-linked glycosylation of newly synthesized proteins	protein glycosylation	molecular_function	membrane, endomembrane system, endoplasmic reticulum, cytoplasm	11	A	6	-	
3	A	13	YPR055W	SEC8	exocyst subunit SEC8	Essential 121 kDa subunit of the exocyst complex; the exocyst mediates polarized targeting and tethering of post-Golgi secretory vesicles to active sites of exocytosis at the plasma membrane prior to SNARE-mediated fusion; involved in ER and Golgi inheritance in small buds; relocalizes away from bud neck upon DNA replication stress	Golgi vesicle transport, organelle inheritance, exocytosis	molecular_function	cell cortex, cellular bud, membrane, site of polarized growth, cytoplasm	12	A	7	-	
3	A	14	YOR110W	TFC7	transcription factor TFIIIC subunit TFC7|tau 55	RNA pol III transcription initiation factor complex (TFIIIC) subunit; part of the TauA globular domain of TFIIIC that binds DNA at the BoxA promoter sites of tRNA and similar genes; TFC7 has a paralog, YNL108C, that arose from the whole genome duplication	transcription from RNA polymerase III promoter	phosphatase activity, nucleic acid binding transcription factor activity, DNA binding, transcription factor activity, protein binding, hydrolase activity	nucleus	11	A	7	-	
3	A	15	YPR056W	TFB4	TFIIH/NER complex subunit TFB4	Subunit of TFIIH complex; involved in transcription initiation, similar to 34 kDa subunit of human TFIIH; interacts with Ssl1p	DNA repair, protein phosphorylation, cellular response to DNA damage stimulus, transcription from RNA polymerase II promoter	transcription factor activity, protein binding	nucleus	12	A	8	-	
3	A	16	YOR116C	RPO31	DNA-directed RNA polymerase III core subunit RPO31|C160|RPC160|RPC1	RNA polymerase III largest subunit C160; part of core enzyme; similar to bacterial beta-prime subunit and to RPA190 and RPO21	transcription from RNA polymerase III promoter	transferase activity, nucleotidyltransferase activity	nucleus	11	A	8	-	
3	A	17	YPR082C	DIB1	U4/U6-U5 snRNP complex subunit DIB1|SNU16	17-kDa component of the U4/U6aU5 tri-snRNP; plays an essential role in pre-mRNA splicing; human ortholog TXNL4A (the human U5-specific 15-kDa protein) complements yeast dib1 null mutant	RNA splicing, mRNA processing	molecular_function	nucleus	12	A	9	-	
3	A	18	YOR117W	RPT5	proteasome regulatory particle base subunit RPT5|YTA1	ATPase of the 19S regulatory particle of the 26S proteasome; one of six ATPases of the regulatory particle; involved in the degradation of ubiquitinated substrates; recruited to the GAL1-10 promoter region upon induction of transcription; similar to human TBP1	DNA-templated transcription, initiation, transcription from RNA polymerase II promoter, proteolysis involved in cellular protein catabolic process, protein complex biogenesis	ATPase activity, hydrolase activity	other	11	A	9	-	
3	A	19	YPR085C	ASA1	-	Subunit of the ASTRA complex, involved in chromatin remodeling; telomere length regulator involved in the stability or biogenesis of PIKKs such as TORC1	biological_process	molecular_function	nucleus, chromosome	12	A	10	-	
3	A	20	YOR119C	RIO1	protein kinase RIO1|RRP10	Serine kinase involved in cell cycle regulation and rDNA integrity; associated with late pre-40S particles via its conserved C-terminal domain and participates in late 40S biogenesis; association with pre-40S particles regulated by its catalytic ATPase site and likely occurs after the release of Rio2p from these particles; involved in cell cycle progression and processing of the 20S pre-rRNA into mature 18S rRNA; phosphorylates Rpa43p in anaphase to remove Pol I from rDNA	transcription from RNA polymerase I promoter, mitotic cell cycle, protein phosphorylation, organelle fission, rRNA processing, regulation of organelle organization, ribosomal small subunit biogenesis, regulation of cell cycle	kinase activity, transferase activity	nucleus, chromosome, nucleolus, cytoplasm	11	A	10	-	
3	A	21	YPR088C	SRP54	RNA-binding signal recognition particle subunit SRP54|SRH1	Signal recognition particle (SRP) subunit (homolog of mammalian SRP54); contains the signal sequence-binding activity of SRP, interacts with the SRP RNA, and mediates binding of SRP to signal receptor; contains GTPase domain	protein targeting, transmembrane transport	RNA binding	endomembrane system, endoplasmic reticulum, cytoplasm	12	A	11	-	
3	A	22	YOR122C	PFY1	profilin|CLS5|PRF1	Profilin; binds actin, phosphatidylinositol 4,5-bisphosphate, and polyproline regions; involved in cytoskeleton organization; required for normal timing of actin polymerization in response to thermal stress; protein abundance increases in response to DNA replication stress; highly conserved protein; human PFN1 (profilin 1) complements temperature sensitive pfy1 mutants, PFN1 mutations are a rare cause of ALS	cytoskeleton organization, regulation of organelle organization, protein complex biogenesis	lipid binding, cytoskeletal protein binding, ion binding	membrane, cytoplasm, plasma membrane	11	A	11	-	
3	A	23	YPR094W	RDS3	U2 snRNP complex subunit RDS3	Component of the SF3b subcomplex of the U2 snRNP; zinc cluster protein involved in pre-mRNA splicing and cycloheximide resistance	response to chemical, RNA splicing, mRNA processing	molecular_function	nucleus	12	A	12	-	
3	A	24	BLANK	BLANK	-	-	-	-	-	11	A	12	-	
3	B	1	YMR301C	ATM1	ATP-binding cassette Fe/S cluster precursor transporter ATM1	Mitochondrial inner membrane ATP-binding cassette (ABC) transporter; exports mitochondrially synthesized precursors of iron-sulfur (Fe/S) clusters to the cytosol; human homolog ABCB7 can complement yeast null mutant	cellular ion homeostasis	hydrolase activity, transmembrane transporter activity, ATPase activity	mitochondrion, membrane, mitochondrial envelope, cytoplasm	10	A	1	-	
3	B	2	BLANK	BLANK	-	-	-	-	-	9	A	1	-	
3	B	3	YMR308C	PSE1	KAP121	Karyopherin/importin that interacts with the nuclear pore complex; acts as the nuclear import receptor for specific proteins, including Pdr1p, Yap1p, Ste12p, and Aft1p	peptidyl-amino acid modification, mitotic cell cycle, protein targeting, organelle fission, regulation of organelle organization, nucleobase-containing compound transport, regulation of protein modification process, protein modification by small protein conjugation or removal, nuclear transport, regulation of cell cycle	protein transporter activity	nucleus, membrane, cytoplasm	10	A	2	-	
3	B	4	YLR166C	SEC10	exocyst subunit SEC10	Essential 100kDa subunit of the exocyst complex; the exocyst mediates polarized targeting and tethering of post-Golgi secretory vesicles to active sites of exocytosis at the plasma membrane prior to SNARE-mediated fusion	Golgi vesicle transport, exocytosis	molecular_function	cellular bud, cell cortex, site of polarized growth, cytoplasm	9	A	2	-	
3	B	5	YMR309C	NIP1	translation initiation factor eIF3 core subunit c	eIF3c subunit of the eukaryotic translation initiation factor 3 (eIF3); involved in the assembly of preinitiation complex and start codon selection; eIF3 is also involved in programmed stop codon readthrough	translational initiation	RNA binding, translation factor activity, RNA binding, mRNA binding	cytoplasm	10	A	3	-	
3	B	6	BLANK	BLANK	-	-	-	-	-	9	A	3	-	
3	B	7	YMR314W	PRE5	proteasome core particle subunit alpha 6	Alpha 6 subunit of the 20S proteasome; protein abundance increases in response to DNA replication stress	proteolysis involved in cellular protein catabolic process	molecular_function	nucleus, membrane, endomembrane system, cytoplasm	10	A	4	-	
3	B	8	BLANK	BLANK	-	-	-	-	-	9	A	4	-	
3	B	9	YNL002C	RLP7	RPL7	Nucleolar protein similar to large ribosomal subunit L7 proteins; constituent of 66S pre-ribosomal particles; plays an essential role in processing of precursors to the large ribosomal subunit RNAs; binds junction of ITS2 and ITS2-proximal stem between the 3' end of 5.8S rRNA and the 5' end of 25S rRNA	rRNA processing, ribosomal large subunit biogenesis	RNA binding, rRNA binding, mRNA binding	nucleus, nucleolus	10	A	5	-	
3	B	10	YLR195C	NMT1	glycylpeptide N-tetradecanoyltransferase NMT1|CDC72	N-myristoyl transferase; catalyzes the cotranslational, covalent attachment of myristic acid to the N-terminal glycine residue of several proteins involved in cellular growth and signal transduction	peptidyl-amino acid modification, protein acylation, protein lipidation	transferase activity	cytoplasm	9	A	5	-	
3	B	11	BLANK	BLANK	-	-	-	-	-	10	A	6	-	
3	B	12	YLR196W	PWP1	rRNA-processing protein PWP1	Protein with WD-40 repeats involved in rRNA processing; associates with trans-acting ribosome biogenesis factors; similar to beta-transducin superfamily	rRNA processing	molecular_function	nucleus, nucleolus, cytoplasm	9	A	6	-	
3	B	13	YNL038W	GPI15	phosphatidylinositol N-acetylglucosaminyltransferase GPI15	Protein involved in the synthesis of GlcNAc-PI; GlcNAc-PI is the first intermediate in the synthesis of glycosylphosphatidylinositol (GPI) anchors; homologous to the human PIG-H protein; GlcNAc-PI stands for N-acetylglucosaminyl phosphatidylinositol	lipid metabolic process, protein lipidation	transferase activity, transferring glycosyl groups, transferase activity	endomembrane system, membrane, endoplasmic reticulum, cytoplasm	10	A	7	-	
3	B	14	YLR197W	NOP56	snoRNP complex protein NOP56|SIK1	Essential evolutionarily-conserved nucleolar protein; component of the box C/D snoRNP complexes that direct 2'-O-methylation of pre-rRNA during its maturation; overexpression causes spindle orientation defects	rRNA processing, RNA modification	RNA binding, mRNA binding	nucleus, nucleolus	9	A	7	-	
3	B	15	YNL039W	BDP1	transcription factor TFIIIB subunit BDP1|TFC7|TFIIIB90|B"|TFC5	Essential subunit of RNA polymerase III transcription factor (TFIIIB); TFIIIB is involved in transcription of genes encoding tRNAs, 5S rRNA, U6 snRNA, and other small RNAs	DNA-templated transcription, initiation, transcription from RNA polymerase III promoter, regulation of DNA metabolic process, transposition	transcription factor activity, protein binding, transcription factor binding	nucleus	10	A	8	-	
3	B	16	BLANK	BLANK	-	-	-	-	-	9	A	8	-	
3	B	17	YNL061W	NOP2	rRNA (cytosine-C5-)-methyltransferase NOP2|YNA1	rRNA m5C methyltransferase; methylates cytosine at position 2870 of 25S rRNA; has an essential function independent of rRNA methylation; contains seven beta-strand methyltransferase motif; essential for processing and maturation of 27S pre-rRNA and large ribosomal subunit biogenesis; localized to the nucleolus; constituent of 66S pre-ribosomal particles; rRNA methylation defect and lethality are functionally complemented by human NOP2, a gene upregulated in cancer	rRNA processing, ribosomal large subunit biogenesis, RNA modification	transferase activity, methyltransferase activity	nucleus, nucleolus	10	A	9	-	
3	B	18	YLR208W	SEC13	GTPase-activating protein SEC13|ANU3	Structural component of 3 complexes; subunit of the Nup84p nuclear pore subcomplex that contributes to nucleocytoplasmic transport and NPC biogenesis; subunit of the COPII vesicle coat required for ER-to-Golgi transport; subunit of SEACAT, a subcomplex of the coatomer-related, vacuolar-associated SEA complex, that inhibits the TORC1 inhibitory role of SEACIT (Iml1p-Npr2p-Npr3p), a GAP for Gtr1p, thereby resulting in activation of TORC1 signaling; human SEC13 homolog	response to chemical, vesicle organization, proteolysis involved in cellular protein catabolic process, Golgi vesicle transport, signaling, nucleus organization	structural molecule activity	nucleus, cytoplasmic vesicle, endomembrane system, membrane, cytoplasm	9	A	9	-	
3	B	19	BLANK	BLANK	-	-	-	-	-	10	A	10	-	
3	B	20	YLR212C	TUB4	gamma-tubulin	Gamma-tubulin; involved in nucleating microtubules from both the cytoplasmic and nuclear faces of the spindle pole body; protein abundance increases in response to DNA replication stress	mitotic cell cycle, cytoplasmic translation, regulation of translation, organelle fission, cytoskeleton organization, protein complex biogenesis	structural molecule activity	cytoskeleton, microtubule organizing center, cytoplasm	9	A	10	-	
3	B	21	YNL088W	TOP2	DNA topoisomerase 2|TRF3|TOR3	Topoisomerase II; relieves torsional strain in DNA by cleaving and re-sealing phosphodiester backbone of both positively and negatively supercoiled DNA; cleaves complementary strands; localizes to axial cores in meiosis; required for replication slow zone (RSZ) breakage following Mec1p inactivation; human homolog TOP2A implicated in cancers, and can complement yeast null mutant	mitotic cell cycle, meiotic cell cycle, organelle fission, chromatin organization, DNA replication, DNA recombination, regulation of DNA metabolic process, regulation of cell cycle	isomerase activity, hydrolase activity, ATPase activity	nucleus, chromosome, mitochondrion, cytoplasm	10	A	11	-	
3	B	22	BLANK	BLANK	-	-	-	-	-	9	A	11	-	
3	B	23	YNL102W	POL1	DNA-directed DNA polymerase alpha catalytic subunit POL1|HPR3|CRT5|CDC17	Catalytic subunit of the DNA polymerase I alpha-primase complex; required for the initiation of DNA replication during mitotic DNA synthesis and premeiotic DNA synthesis	meiotic cell cycle, DNA repair, DNA replication, cellular response to DNA damage stimulus	transferase activity, nucleotidyltransferase activity	nucleus, chromosome, mitochondrion, cytoplasm	10	A	12	-	
3	B	24	BLANK	BLANK	-	-	-	-	-	9	A	12	-	
3	C	1	YPR103W	PRE2	proteasome core particle subunit beta 5|SRR2|PRG1|DOA3	Beta 5 subunit of the 20S proteasome; responsible for the chymotryptic activity of the proteasome	proteolysis involved in cellular protein catabolic process, protein complex biogenesis	peptidase activity, hydrolase activity	nucleus, endomembrane system, membrane, endoplasmic reticulum, cytoplasm	12	B	1	-	
3	C	2	YOR146W	-	-	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; open reading frame overlaps the verified gene PNO1/YOR145C	biological_process	molecular_function	cellular_component	11	B	1	-	
3	C	3	YPR104C	FHL1	SPP42	Regulator of ribosomal protein (RP) transcription; has forkhead associated domain that binds phosphorylated proteins; recruits coactivator Ifh1p or corepressor Crf1p to RP gene promoters; also has forkhead DNA-binding domain though in vitro DNA binding assays give inconsistent results; computational analyses suggest it binds DNA directly at highly active RP genes and indirectly through Rap1p motifs at others; suppresses RNA pol III and splicing factor prp4 mutants	transcription from RNA polymerase II promoter	DNA binding, transcription factor binding	nucleus, nucleolus, chromosome	12	B	2	-	
3	C	4	YOR148C	SPP2	-	Essential protein that promotes the first step of splicing; required for the final stages of spliceosome maturation and activation; interacts with Prp2p, which may release Spp2p from the spliceosome following the first cleavage reaction; stimulates Prp2p ATPase activity	RNA splicing, mRNA processing	enzyme regulator activity	nucleus	11	B	2	-	
3	C	5	YPR105C	COG4	Golgi transport complex subunit COG4|SGF1|SEC38|COD1	Essential component of the conserved oligomeric Golgi complex; a cytosolic tethering complex (Cog1p through Cog8p) that functions in protein trafficking to mediate fusion of transport vesicles to Golgi compartments	Golgi vesicle transport, protein targeting	molecular_function	endomembrane system, cytoplasm, Golgi apparatus	12	B	3	-	
3	C	6	YOR149C	SMP3	glycosylphosphatidylinositol-alpha 1,2 mannosyltransferase|SAP2|LAS2	Alpha 1,2-mannosyltransferase; involved in glycosyl phosphatidyl inositol (GPI) biosynthesis; required for addition of the fourth, side branching mannose to the GPI core structure	lipid metabolic process, protein lipidation	transferase activity, transferring glycosyl groups, transferase activity	endomembrane system, membrane, endoplasmic reticulum, cytoplasm	11	B	3	-	
3	C	7	YPR107C	YTH1	cleavage polyadenylation factor RNA-binding subunit YTH1	Essential RNA-binding component of cleavage and polyadenylation factor; contains five zinc fingers; required for pre-mRNA 3'-end processing and polyadenylation; relocalizes to the cytosol in response to hypoxia	mRNA processing	RNA binding	nucleus, cytoplasm	12	B	4	-	
3	C	8	YOR157C	PUP1	proteasome core particle subunit beta 2	Beta 2 subunit of the 20S proteasome; endopeptidase with trypsin-like activity that cleaves after basic residues; synthesized as a proprotein before being proteolytically processed for assembly into 20S particle; human homolog is subunit Z	proteolysis involved in cellular protein catabolic process	peptidase activity, hydrolase activity	nucleus, endomembrane system, membrane, endoplasmic reticulum, cytoplasm	11	B	4	-	
3	C	9	YPR108W	RPN7	proteasome regulatory particle lid subunit RPN7	Essential non-ATPase regulatory subunit of the 26S proteasome; similar to another S. cerevisiae regulatory subunit, Rpn5p, as well as to mammalian proteasome subunits	proteolysis involved in cellular protein catabolic process	structural molecule activity	nucleus	12	B	5	-	
3	C	10	YOR159C	SME1	mRNA splicing protein SME1|Sm E|SmE	Core Sm protein Sm E; part of heteroheptameric complex (with Smb1p, Smd1p, Smd2p, Smd3p, Smx3p, and Smx2p) that is part of the spliceosomal U1, U2, U4, and U5 snRNPs; homolog of human Sm E	RNA splicing, mRNA processing	molecular_function	nucleus	11	B	5	-	
3	C	11	YPR110C	RPC40	DNA-directed RNA polymerase core subunit RPC40|RPC5	RNA polymerase subunit AC40; common to RNA polymerase I and III; predominant determinant targeting Ty1 integration upstream of Pol III-transcribed genes	transcription from RNA polymerase I promoter, transcription from RNA polymerase III promoter, transposition	transferase activity, nucleotidyltransferase activity	nucleus, nucleolus	12	B	6	-	
3	C	12	YOR160W	MTR10	KAP111	Nuclear import receptor; mediates the nuclear localization of proteins involved in mRNA-nucleus export; promotes dissociation of mRNAs from the nucleus-cytoplasm mRNA shuttling protein Npl3p; required for retrograde import of mature tRNAs; relocalizes from cytoplasm to the nuclear periphery upon DNA replication stress	protein targeting, nucleobase-containing compound transport, nuclear transport	other	nucleus, membrane, cytoplasm	11	B	6	-	
3	C	13	YPR112C	MRD1	RNA-binding ribosome biosynthesis protein MRD1	Essential conserved small ribosomal subunit (40s) synthesis factor; component of the 90S preribosome; required for production of 18S rRNA and small ribosomal subunit; contains five consensus RNA-binding domains and binds to the pre-rRNA at two sites within the 18S region	ribosome assembly, rRNA processing, organelle assembly, ribosomal small subunit biogenesis	RNA binding, rRNA binding, mRNA binding	nucleus, nucleolus	12	B	7	-	
3	C	14	YOR168W	GLN4	glutamine--tRNA ligase	Glutamine tRNA synthetase; monomeric class I tRNA synthetase that catalyzes the specific glutaminylation of tRNA(Gln); N-terminal domain proposed to be involved in enzyme-tRNA interactions	tRNA aminoacylation for protein translation, cellular amino acid metabolic process	RNA binding, mRNA binding, ligase activity	mitochondrion, cytoplasm	11	B	7	-	
3	C	15	YPR113W	PIS1	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	Phosphatidylinositol synthase; required for biosynthesis of phosphatidylinositol, which is a precursor for polyphosphoinositides, sphingolipids, and glycolipid anchors for some of the plasma membrane proteins	lipid metabolic process	transferase activity	endomembrane system, mitochondrion, membrane, mitochondrial envelope, endoplasmic reticulum, Golgi apparatus, cytoplasm	12	B	8	-	
3	C	16	BLANK	BLANK	-	-	-	-	-	11	B	8	-	
3	C	17	YPR133C	SPN1	IWS1	Protein involved in RNA polymerase II transcription; is constitutively recruited to the CYC1 promoter and is required for recruitment of chromatin remodeling factors for the expression of CYC1 gene; interacts genetically or physically with RNAP II, TBP, TFIIS, and chromatin remodelling factors; central domain highly conserved throughout eukaryotes; mutations confer an Spt- phenotype	chromatin organization, transcription from RNA polymerase II promoter, nucleobase-containing compound transport, nuclear transport, DNA-templated transcription, elongation	transcription factor activity, protein binding	nucleus	12	B	9	-	
3	C	18	YOR174W	MED4	-	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation	transcription from RNA polymerase II promoter	DNA binding	nucleus	11	B	9	-	
3	C	19	YPR136C	-	-	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps verified ORF RRP9	biological_process	molecular_function	cellular_component	12	B	10	-	
3	C	20	YOR176W	HEM15	ferrochelatase HEM15	Ferrochelatase; a mitochondrial inner membrane protein, catalyzes insertion of ferrous iron into protoporphyrin IX, the eighth and final step in the heme biosynthetic pathway; human homolog FECH can complement yeast mutant and allow growth of haploid null after sporulation of a heterozygous diploid	cofactor metabolic process	lyase activity	membrane, mitochondrial envelope, mitochondrion, cytoplasm	11	B	10	-	
3	C	21	YPR137W	RRP9	-	Protein involved in pre-rRNA processing; associated with U3 snRNP; component of small ribosomal subunit (SSU) processosome; ortholog of the human U3-55k protein	rRNA processing, RNA modification	RNA binding	nucleus, nucleolus	12	B	11	-	
3	C	22	YOR181W	LAS17	actin-binding protein LAS17|BEE1	Actin assembly factor; C-terminal WCA domain activates Arp2/3 complex-mediated nucleation of branched actin filaments, polyproline domain nucleates actin filaments independent of Arp2/3; mutants are defective in endocytosis, bud site selection, cytokinesis; human homolog WAS (Wiskott-Aldrich Syndrome) implicated in severe immunodeficiency; human WAS complements yeast null mutant, but only in presence of WIPF1, which mediates localization of WAS to cortical patches	cytoskeleton organization, regulation of organelle organization, protein complex biogenesis	cytoskeletal protein binding	cell cortex, site of polarized growth, cytoskeleton, cytoplasm	11	B	11	-	
3	C	23	YPR142C	-	-	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF RRP15, which is required for ribosomal RNA processing	biological_process	molecular_function	cellular_component	12	B	12	-	
3	C	24	YOR203W	-	-	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps 5' end of essential DED1 gene required for translation initiation	biological_process	molecular_function	cellular_component	11	B	12	-	
3	D	1	BLANK	BLANK	-	-	-	-	-	10	B	1	-	
